frequencies, power
4.500000,0.604296
4.511111,0.438541
4.522222,0.607299
4.533333,0.028227
4.544444,0.265225
4.555556,0.000485
4.566667,0.221369
4.577778,0.261233
4.588889,0.070449
4.600000,0.014748
4.611111,0.222317
4.622222,0.612347
4.633333,0.219573
4.644444,0.002076
4.655556,0.132151
4.666667,0.320976
4.677778,0.015303
4.688889,0.879676
4.700000,0.129788
4.711111,0.172653
4.722222,0.143690
4.733333,0.088642
4.744444,0.281379
4.755556,0.138625
4.766667,0.093311
4.777778,0.275657
4.788889,0.182986
4.800000,0.088555
4.811111,0.260806
4.822222,0.163955
4.833333,0.341025
4.844444,0.090020
4.855556,0.278590
4.866667,0.435467
4.877778,0.134986
4.888889,0.057285
4.900000,0.356441
4.911111,0.045316
4.922222,0.899017
4.933333,0.402248
4.944444,0.169152
4.955556,0.196779
4.966667,0.091753
4.977778,0.165127
4.988889,0.262975
5.000000,0.036562
5.011111,0.254793
5.022222,0.001570
5.033333,0.071493
5.044444,0.209091
5.055556,0.169141
5.066667,0.035805
5.077778,0.327048
5.088889,0.216172
5.100000,0.117508
5.111111,0.021767
5.122222,0.251227
5.133333,0.372462
5.144444,0.034615
5.155556,0.133694
5.166667,0.402823
5.177778,0.120811
5.188889,0.030431
5.200000,0.038938
5.211111,0.158053
5.222222,0.187526
5.233333,0.063075
5.244444,0.025782
5.255556,0.033326
5.266667,0.024980
5.277778,0.146381
5.288889,0.092375
5.300000,0.192086
5.311111,0.118093
5.322222,0.044954
5.333333,0.031764
5.344444,0.087344
5.355556,0.124798
5.366667,0.227675
5.377778,0.003878
5.388889,0.094683
5.400000,0.376522
5.411111,0.003139
5.422222,0.140940
5.433333,0.132552
5.444444,0.240846
5.455556,0.199858
5.466667,0.029926
5.477778,0.088689
5.488889,0.189943
5.500000,0.262072
5.511111,0.186154
5.522222,0.232800
5.533333,0.118427
5.544444,0.241532
5.555556,0.179676
5.566667,0.517979
5.577778,0.137659
5.588889,0.135871
5.600000,0.021949
5.611111,0.014696
5.622222,0.044578
5.633333,0.124836
5.644444,0.246564
5.655556,0.118023
5.666667,0.236099
5.677778,0.065524
5.688889,0.081159
5.700000,0.032847
5.711111,0.188062
5.722222,0.119931
5.733333,0.522787
5.744444,0.135454
5.755556,0.002277
5.766667,0.048507
5.777778,0.076832
5.788889,0.167647
5.800000,0.214270
5.811111,0.032364
5.822222,0.007465
5.833333,0.012932
5.844444,0.232327
5.855556,0.091837
5.866667,0.052502
5.877778,0.007653
5.888889,0.108379
5.900000,0.303653
5.911111,0.263242
5.922222,0.006549
5.933333,0.002882
5.944444,0.576305
5.955556,0.024256
5.966667,0.027412
5.977778,0.087996
5.988889,0.066416
6.000000,0.097461
6.011111,0.080652
6.022222,0.021818
6.033333,0.174886
6.044444,0.124978
6.055556,0.147390
6.066667,0.255189
6.077778,0.017632
6.088889,0.045664
6.100000,0.009775
6.111111,0.100352
6.122222,0.059344
6.133333,0.015659
6.144444,0.027136
6.155556,0.138193
6.166667,0.010959
6.177778,0.067490
6.188889,0.074597
6.200000,0.029655
6.211111,0.007879
6.222222,0.000518
6.233333,0.021973
6.244444,0.259982
6.255556,0.011157
6.266667,0.002643
6.277778,0.063288
6.288889,0.093080
6.300000,0.020874
6.311111,0.226343
6.322222,0.017345
6.333333,0.007328
6.344444,0.133979
6.355556,0.099317
6.366667,0.064264
6.377778,0.018085
6.388889,0.038924
6.400000,0.026219
6.411111,0.002119
6.422222,0.049539
6.433333,0.014898
6.444444,0.003916
6.455556,0.163139
6.466667,0.036005
6.477778,0.069906
6.488889,0.028022
6.500000,0.115777
6.511111,0.022951
6.522222,0.013436
6.533333,0.085324
6.544444,0.047806
6.555556,0.022397
6.566667,0.067155
6.577778,0.026315
6.588889,0.153362
6.600000,0.126248
6.611111,0.021617
6.622222,0.189617
6.633333,0.093361
6.644444,0.061165
6.655556,0.011898
6.666667,0.024161
6.677778,0.089203
6.688889,0.034200
6.700000,0.149087
6.711111,0.094852
6.722222,0.043263
6.733333,0.009584
6.744444,0.071530
6.755556,0.034544
6.766667,0.104568
6.777778,0.203884
6.788889,0.010482
6.800000,0.021416
6.811111,0.035157
6.822222,0.125904
6.833333,0.011587
6.844444,0.005360
6.855556,0.027282
6.866667,0.040864
6.877778,0.020010
6.888889,0.254259
6.900000,0.087555
6.911111,0.191437
6.922222,0.065385
6.933333,0.007024
6.944444,0.000316
6.955556,0.356339
6.966667,0.100939
6.977778,0.021141
6.988889,0.088244
7.000000,0.216578
7.011111,0.059715
7.022222,0.209821
7.033333,0.042830
7.044444,0.131048
7.055556,0.004182
7.066667,0.000391
7.077778,0.050399
7.088889,0.039211
7.100000,0.005840
7.111111,0.221510
7.122222,0.094864
7.133333,0.023513
7.144444,0.008583
7.155556,0.183890
7.166667,0.014818
7.177778,0.048425
7.188889,0.163689
7.200000,0.012021
7.211111,0.010154
7.222222,0.000991
7.233333,0.204263
7.244444,0.028271
7.255556,0.084842
7.266667,0.047309
7.277778,0.027951
7.288889,0.013217
7.300000,0.051882
7.311111,0.150202
7.322222,0.042280
7.333333,0.108238
7.344444,0.094776
7.355556,0.056459
7.366667,0.191721
7.377778,0.233409
7.388889,0.132830
7.400000,0.058704
7.411111,0.020537
7.422222,0.047834
7.433333,0.067323
7.444444,0.087973
7.455556,0.212037
7.466667,0.052627
7.477778,0.050626
7.488889,0.162383
7.500000,0.077541
7.511111,0.144813
7.522222,0.007322
7.533333,0.000329
7.544444,0.018400
7.555556,0.284325
7.566667,0.007894
7.577778,0.097447
7.588889,0.045800
7.600000,0.013102
7.611111,0.058240
7.622222,0.025635
7.633333,0.058673
7.644444,0.098602
7.655556,0.077936
7.666667,0.030014
7.677778,0.068413
7.688889,0.098283
7.700000,0.054985
7.711111,0.184907
7.722222,0.092305
7.733333,0.070876
7.744444,0.202671
7.755556,0.014330
7.766667,0.054470
7.777778,0.011016
7.788889,0.026095
7.800000,0.024291
7.811111,0.011093
7.822222,0.148977
7.833333,0.006036
7.844444,0.024658
7.855556,0.110778
7.866667,0.052849
7.877778,0.170337
7.888889,0.035494
7.900000,0.099933
7.911111,0.107611
7.922222,0.007425
7.933333,0.129605
7.944444,0.027608
7.955556,0.013237
7.966667,0.005421
7.977778,0.012653
7.988889,0.060919
8.000000,0.160382
8.011111,0.056318
8.022222,0.048282
8.033333,0.058742
8.044444,0.079173
8.055556,0.000265
8.066667,0.041192
8.077778,0.005870
8.088889,0.021231
8.100000,0.027137
8.111111,0.037156
8.122222,0.008266
8.133333,0.082781
8.144444,0.128623
8.155556,0.015636
8.166667,0.032503
8.177778,0.027635
8.188889,0.047241
8.200000,0.088511
8.211111,0.042319
8.222222,0.091780
8.233333,0.137370
8.244444,0.103709
8.255556,0.080490
8.266667,0.034886
8.277778,0.030605
8.288889,0.112907
8.300000,0.134387
8.311111,0.005506
8.322222,0.076488
8.333333,0.027843
8.344444,0.005809
8.355556,0.014178
8.366667,0.026720
8.377778,0.029156
8.388889,0.137404
8.400000,0.221762
8.411111,0.144737
8.422222,0.047638
8.433333,0.009307
8.444444,0.052443
8.455556,0.002185
8.466667,0.072773
8.477778,0.124477
8.488889,0.037381
8.500000,0.004952
8.511111,0.005651
8.522222,0.028591
8.533333,0.000927
8.544444,0.007280
8.555556,0.057571
8.566667,0.022166
8.577778,0.089337
8.588889,0.033965
8.600000,0.098519
8.611111,0.017488
8.622222,0.008994
8.633333,0.121755
8.644444,0.050707
8.655556,0.027043
8.666667,0.012010
8.677778,0.029292
8.688889,0.008288
8.700000,0.107151
8.711111,0.047753
8.722222,0.051895
8.733333,0.021088
8.744444,0.002617
8.755556,0.000995
8.766667,0.034202
8.777778,0.045414
8.788889,0.074928
8.800000,0.139424
8.811111,0.052284
8.822222,0.048110
8.833333,0.190331
8.844444,0.024873
8.855556,0.028817
8.866667,0.036026
8.877778,0.055130
8.888889,0.034203
8.900000,0.003919
8.911111,0.053209
8.922222,0.016254
8.933333,0.018289
8.944444,0.032755
8.955556,0.008378
8.966667,0.039155
8.977778,0.066528
8.988889,0.003485
9.000000,0.082110
9.011111,0.098512
9.022222,0.063594
9.033333,0.017249
9.044444,0.095455
9.055556,0.119876
9.066667,0.002885
9.077778,0.023884
9.088889,0.013867
9.100000,0.121427
9.111111,0.041217
9.122222,0.010563
9.133333,0.008651
9.144444,0.012995
9.155556,0.004160
9.166667,0.051014
9.177778,0.057515
9.188889,0.008582
9.200000,0.109311
9.211111,0.086263
9.222222,0.039879
9.233333,0.367475
9.244444,0.114432
9.255556,0.031994
9.266667,0.057498
9.277778,0.208045
9.288889,0.001749
9.300000,0.080703
9.311111,0.040362
9.322222,0.036972
9.333333,0.048054
9.344444,0.021756
9.355556,0.017908
9.366667,0.004995
9.377778,0.020559
9.388889,0.079693
9.400000,0.006602
9.411111,0.024805
9.422222,0.029048
9.433333,0.004734
9.444444,0.008250
9.455556,0.002131
9.466667,0.099970
9.477778,0.002392
9.488889,0.003560
9.500000,0.046386
9.511111,0.044669
9.522222,0.019555
9.533333,0.032343
9.544444,0.037356
9.555556,0.096233
9.566667,0.113859
9.577778,0.027898
9.588889,0.209836
9.600000,0.044160
9.611111,0.006040
9.622222,0.049090
9.633333,0.067910
9.644444,0.043432
9.655556,0.028907
9.666667,0.048046
9.677778,0.115121
9.688889,0.052904
9.700000,0.131777
9.711111,0.009674
9.722222,0.008876
9.733333,0.056116
9.744444,0.066344
9.755556,0.053894
9.766667,0.090288
9.777778,0.117990
9.788889,0.001623
9.800000,0.010980
9.811111,0.155796
9.822222,0.064736
9.833333,0.008162
9.844444,0.075177
9.855556,0.060749
9.866667,0.218680
9.877778,0.245645
9.888889,0.025843
9.900000,0.011494
9.911111,0.068088
9.922222,0.019397
9.933333,0.144901
9.944444,0.019964
9.955556,0.008230
9.966667,0.254245
9.977778,0.018760
9.988889,0.031150
